COMPANY,PRESENT ,HIGH,LOW,PREV.CLOSE,PREFERRED
infosys,4188,4209.45,2894,4196,sell
dr.reddy,3436,3503,2250,3476.35,sell
oracle fin service,3316,4179,2775,3280,sell
hcl tech,1610.55,1775.4,1044,1645,buy
abb in ltd,1129.4,1263.5,568,1090,buy
mindtree,1121,1246.05,649.2,1133.7,sell
Bank of Baroda ,1010,1024,509,998,sell
Vaibhav Global Ltd. ,736,975,381.5,745.4,buy
wipro,563.5,621.5,465.4,558.6,sell
adani enterprise,488.65,585,210.4,481,sell
indiabull house fin,457.05,484.9,188,457.5,sell
zee entertainment,374.1,378.75,248.75,371.5,sell
Bank of India ,285.35,356.7,166,283.6,sell
Arvind Ltd. ,281.65,341.4,118.7,278.55,buy
Panasonic Appliances ,261.9,286.9,47.05,261.2,buy
Balmer Lawrie Invest ,258,290,171,260.2,buy
PC Jeweller Ltd. ,251.7,278,71.5,246,buy
Kalyani Forge ,250,311,98,243.2,buy
Aditya Birla Chemica ,247.9,342.8,86.5,245,buy
Mazda Ltd. ,247,275.9,93.4,230,buy
Bharat Heavy Ele ,246.2,291.5,134.15,247,buy
McLeod Russel ,242.65,330,241,245,buy
Kirloskar Bros. ,239.95,330,138,239,buy
Sesa Sterlite ,239.55,318.4,169.55,235.8,sell
Apollo Tyres ,237.3,242.7,70.6,234.3,sell
Bajaj Electrical ,234.45,384.8,158.65,244.7,buy
Dabur India ,231.1,236.1,154,231.8,sell
Ambuja Cements Ltd. ,229.75,243.8,150.5,226.6,sell
Motilal Oswal Financ ,229,255.25,70,227.65,buy
Bajaj Steel Ind. ,227,350,63,225.7,buy
Mahindra CIE Auto ,224.4,237,45,210,sell
Rallis India ,222.75,254.4,151,222.5,sell
Shilchar Technologie ,222.3,271.7,35.55,247,sell
hexaware tech,220.8,225.5,112.1,222.95,sell
Hexaware Technologie ,220.8,225.5,112,223,sell
Vadilal Enterprises ,219.75,260.3,98,210,sell
Mylan Laboratories ,209.7,211,208.8,208.8,sell
IIFL Holdings ,176.75,185.9,56.7,171.3,buy
idfc,154.75,166.7,88.1,153.95,buy
Guj. Hotels Ltd. ,150,200,124.45,150.05,buy
Jamna Auto Inds. ,149.4,177.9,50.7,147,buy
Joonktollee Tea ,142,175.95,107.4,135.25,buy
Jubilant Life Scienc ,137,222,103,135.9,buy
Karnataka Bank ,136.8,150.75,91.2,134.6,buy
India Infraspace ,128.8,175,128.8,128.8,buy
ABC India Ltd. ,128,164.3,80,113,buy
JMT Auto Ltd. ,121.55,188,30.45,122.5,sell
Pantaloons Fashion ,121.5,144.65,73.5,120.25,sell
Allahabad Bank ,120.35,150,72.45,118.7,buy
JSL Industries ,120.15,199.7,41,114.4,sell
Suprajit Enginee ,120,134.2,37.4,120,sell
Kiri Industries ,120,178.7,42.2,121.5,buy
Gujarat Apollo Indus ,119,147.5,85.1,121.2,buy
Birla Transasia ,116.85,156.7,30.65,123,buy
Essar Oil Ltd. ,116.1,132.5,44.5,117.75,buy
Switching Tech. ,115.9,149.9,20.95,111.25,buy
Satyam Computer ,115.3,131.2,115.3,115.3,buy
Suryalakshmi Cot ,112,155,36,112,buy
Atlas Jewellery ,111.6,116.3,10.2,109.9,buy
Cosmo Films ,110.6,129.9,45.3,112.15,buy
India Cements Lt ,108.85,134.3,46,110.75,sell
Magma Fincorp Ltd. ,108.8,142,62.2,111.1,buy
Ari Consolidated ,108.75,108.75,108.75,108.75,sell
NDTV ,107.3,141.4,65.5,104.95,buy
Bhushan Steel Ltd. ,106.8,493.5,86.95,107,buy
Manaksia Ltd. ,106,115.4,48,104.7,buy
Nelco Ltd ,105.8,111.9,33,106.7,buy
HT Media ,105.65,131,69.5,107.25,sell
Future Retail ,105.45,147.8,63.3,103.7,buy
gujratstate petronet,103.75,104.5,54.2,97.2,buy
Blow Plast ,103.35,105.5,102,104.45,buy
RelianceCommu.Ltd ,102.9,156.9,93.1,102.8,buy
dcb bank,101.6,102.15,46.8,98.65,sell
patel integrated,100.75,105.6,12.7,98.2,sell
DS Kulkarni Develope ,100.6,102.5,44.6,100.2,buy
Capital Trade Links ,100.05,132,77.2,101.05,buy
Orient Press Ltd ,100,130.1,49,109.2,sell
nahar spg mills,99.95,176.3,90,100.25,buy
Nahar Spg Mills ,99.95,176.3,90,100.25,buy
Ador Fontech Ltd ,99.7,125,53,100.45,buy
krbl,99.6,107.45,30.4,99.65,buy
Chemfab Alkalis ,99.6,122,65,96.6,buy
Delta Corp Ltd. ,99.15,127.7,77.3,101.25,sell
agarwal industries,99.05,193.85,79.5,98.7,sell
essar ports,98.95,110,48,99,buy
Essar Ports ,98.9,110,48,99,buy
Jindal Saw ,98.7,99.5,44.3,90.95,sell
zuari global,98.5,106.65,57,98.3,sell
puravankara projects,98.1,133.9,50,99.1,buy
navneet education,98,106,52.35,98.8,buy
kec international,97.8,153,38.25,98.35,buy
Shirpur Gold Refine. ,97.45,109.4,45.3,96.5,buy
orient refractories,97.25,105,35.3,97.6,sell
gm breweries,96,149.7,66.8,97,buy
rpg life science,95.8,134.4,45,97.4,buy
Surana Solar ,95.55,105.3,15.45,97,buy
Sintex Industrie ,94.9,107.45,28.8,93.1,buy
Chennai Petro. ,94.25,113.9,57.65,95.35,buy
Surya Roshni Ltd ,94,120.1,65.95,93.85,buy
Gabriel India ,93.9,99.25,19.45,94.55,buy
Tara Jewels Ltd. ,93.6,142.5,80.1,95.45,buy
PTC India ,93.1,104.4,52.05,92.35,sell
PG Electroplast Ltd. ,93,237.9,83.95,94,buy
Amtek India Ltd. ,92.9,137.85,54.5,93.95,buy
Jayshree Tea ,92.55,114,77.3,93.8,buy
GOL Offshore Ltd. ,92.45,130.55,53.4,93.5,buy
Future Lifestyle ,92.3,112.75,55.3,91,sell
Taj GVK Hotels & Res ,92.2,128,53.75,92,buy
Sudarshan Chem. ,91.85,123.8,38.5,91.75,sell
AGC Networks ,91.85,102.15,44,89.4,buy
Himatsingka Seid ,91.75,105.9,43.55,92.9,buy
Dhunseri Petrochem L ,91,187.7,87.2,89.2,buy
Aries Agro Ltd. ,91,113.75,35,88.6,sell
Dhunseri Petrochem L ,91,187.7,87.2,89.2,buy
Autoline Industries ,90.5,121.4,62,93.9,buy
Binani Cement Ltd. ,90.5,90.95,90.45,90.45,buy
City Union Bank ,90.5,91.2,45.65,89.6,sell
Gujarat Narmada Vall ,89.4,114,62,87.15,sell
Jai Corp Ltd. ,89.1,116.8,54.6,88.85,sell
Deepak Nitrite ,88.95,106,28,86.5,sell
Tata Power Co. ,88.75,115.25,69.9,88.75,sell
Lakshmi Vilas Ba ,88.3,90.7,49.55,86.8,sell
HDIL ,88.15,113.85,38.7,86.95,buy
Graphite India Ltd. ,88.1,126.15,69,89.3,buy
Global Vectra Helico ,87.9,93.3,9,83.5,sell
Neyveli Lignite ,87.8,108.5,54.55,88,buy
UCO Bank ,87.7,115.75,62.05,86.4,sell
Nahar Capital & Fina ,87.55,101.95,41.6,88.5,buy
Accel Frontline ,87.35,95.95,29.4,87.2,buy
Andhra Bank ,86.8,110,53.5,85.15,sell
Steel Authority ,86.4,112.9,54,80.3,sell
sail,86.4,112.9,54,80.3,sell
Heidelberg Cement In ,86.35,104,32.7,85.6,buy
Vimta Labs Ltd. ,86.3,133.8,45,87.3,sell
GHCL ,86.2,107.1,31.25,85.85,buy
Goa Carbons ,85.4,111.5,52.55,86.9,buy
Guj. Industries ,85.2,106.4,53.05,85.6,buy
Ramco Industries ,84.6,92.75,29,82.15,buy
Bal Pharma Ltd ,84,103.8,20.05,84.25,sell
Jain Irrigation ,82.4,133.45,56.45,82.05,buy
Aptech Ltd. ,82,112.9,66.6,82.05,sell
SPML Infra ,81.45,93,24.45,78.1,buy
DCM Ltd. ,81,112.7,66,81.8,sell
Mangalore Chem. ,81,104.6,52.3,80.3,buy
indiabull real estate,80.9,109.45,45.1,77.65,buy
Star Ferro & Cement ,79.5,81.75,14.55,77.6,sell
